ImageId,Label
1,2
2,2
3,0
4,2
5,0
6,0
7,2
8,2
9,6
10,2
11,2
12,0
13,0
14,2
15,0
16,2
17,6
18,0
19,0
20,6
21,0
22,0
23,0
24,2
25,0
26,0
27,0
28,2
29,7
30,2
31,2
32,0
33,2
34,6
35,2
36,0
37,2
38,0
39,0
40,2
41,0
42,2
43,0
44,2
45,0
46,2
47,2
48,0
49,0
50,0
51,2
52,7
53,0
54,0
55,0
56,2
57,0
58,7
59,0
60,6
61,2
62,0
63,8
64,2
65,7
66,2
67,0
68,2
69,2
70,0
71,2
72,0
73,0
74,0
75,2
76,2
77,0
78,0
79,2
80,2
81,0
82,0
83,0
84,2
85,2
86,2
87,0
88,0
89,2
90,4
91,7
92,6
93,7
94,2
95,0
96,0
97,0
98,0
99,0
100,0
101,2
102,0
103,0
104,2
105,0
106,0
107,2
108,0
109,6
110,0
111,2
112,2
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,6
122,2
123,6
124,7
125,0
126,6
127,0
128,2
129,0
130,0
131,2
132,0
133,0
134,6
135,2
136,2
137,2
138,0
139,6
140,2
141,7
142,2
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,7
152,2
153,2
154,0
155,0
156,0
157,6
158,2
159,2
160,0
161,0
162,2
163,7
164,7
165,0
166,2
167,0
168,7
169,0
170,6
171,0
172,6
173,0
174,2
175,0
176,0
177,2
178,0
179,0
180,2
181,0
182,0
183,0
184,4
185,7
186,0
187,2
188,0
189,0
190,2
191,2
192,0
193,0
194,0
195,2
196,6
197,0
198,2
199,2
200,0
201,0
202,0
203,7
204,0
205,0
206,2
207,0
208,0
209,7
210,2
211,6
212,0
213,0
214,0
215,2
216,6
217,0
218,2
219,0
220,0
221,0
222,0
223,0
224,6
225,2
226,2
227,2
228,2
229,0
230,6
231,6
232,0
233,2
234,0
235,0
236,0
237,7
238,0
239,0
240,2
241,7
242,2
243,0
244,0
245,0
246,2
247,0
248,0
249,0
250,2
251,0
252,7
253,0
254,0
255,2
256,2
257,0
258,0
259,0
260,2
261,0
262,2
263,0
264,0
265,0
266,2
267,2
